sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_1p_TENT5C	chr_17p_TP53	chr_14q_TRAF3
MMRF_1092_1_BM_CD138pos_pair	2.0027|0.0019	1.9994|0.0016	3.5448|0.0052	3.0495|0.003	1.9994|0.0011	1.9994|0.0011	2.0315|0.0013	1.9903|0.0015	3.7319|0.0034	1.969|0.0025	1.9876|0.0021	1.974|0.003	1.9818|0.0019	1.9953|0.0014	1.9953|0.0014	3.0085|0.006	3.0195|0.0038	1.9888|0.0012	2.0047|0.0013	1.9989|0.0024	1.9704|0.0027	1.9992|0.0022	1.9712|0.0024	2.0082|0.0013	2.0103|0.001	3.0346|0.0019	3.0412|0.0024	1.9972|0.0015	2.0134|0.0012	4.049|0.0036	4.0087|0.0029	2.0014|0.0017	2.0123|0.0012	3.0455|0.0025	3.0395|0.002	2.0052|0.0032	1.992|0.0018	4.0326|0.0038	3.9279|0.0039	3.0592|0.0024	3.0282|0.0044	1.99|0.0012	2.0058|0.0013	1.9894|0.002	1.99|0.0012	2.0027|0.0014	1.9845|0.0031	1.9845|0.0031	1.9959|0.0014	1.99|0.0012	2.0326|0.0013	1.99|0.0012	1.9751|0.003	2.0027|0.0014
MMRF_1098_1_BM_CD138pos_pair	2.0081|0.0012	2.0081|0.0012	2.0017|0.0016	1.9948|0.0018	2.0336|0.0022	2.0314|0.0012	1.0492|7e-04	1.1279|8e-04	1.979|0.0019	1.9946|0.0016	1.9946|0.0016	1.9823|0.0016	1.9823|0.0016	2.0013|0.0015	2.0013|0.0015	1.9686|0.0035	1.9634|0.0025	2.0168|0.0012	1.9445|0.0013	2.0366|0.0017	2.0366|0.0017	2.0102|0.0023	1.0377|0.0018	1.9977|0.0027	2.004|0.0011	1.9989|0.0014	1.987|0.0018	2.0251|0.0026	2.0038|0.0013	2.0052|0.001	2.0052|0.001	2.0089|0.0012	2.0077|0.001	1.9829|0.0011	1.9899|0.0017	2.0269|0.0011	2.0269|0.0011	1.9582|0.0012	1.9582|0.0012	1.9845|0.0016	2.6422|0.0212	2.0152|0.0012	1.943|0.0013	1.9931|0.0016	2.0152|0.0012	1.1264|8e-04	2.0253|0.0011	2.0253|0.0011	2.0066|0.0012	2.0152|0.0012	1.0476|7e-04	2.0152|0.0012	1.9808|0.0016	1.1264|8e-04
MMRF_1100_1_BM_CD138pos_pair	1.9764|0.0015	1.9881|0.0011	1.9922|8e-04	1.9922|8e-04	1.9818|8e-04	1.9818|8e-04	1.0048|5e-04	1.9886|0.0014	2.1409|0.0012	1.9714|0.0019	1.9791|0.0015	1.9775|0.0017	1.9892|0.0019	1.9868|0.0022	1.9948|0.0012	1.995|0.0017	1.9949|0.0023	1.9918|9e-04	2.007|0.0011	1.9767|0.0018	1.9729|0.0018	1.9998|0.0017	1.9948|0.0027	1.9915|0.001	1.995|9e-04	1.9958|7e-04	1.9966|9e-04	1.9977|0.0014	2.0149|0.0015	1.9998|0.0016	1.9948|8e-04	1.9931|0.0011	1.2861|0.0021	1.9944|8e-04	1.9944|8e-04	1.994|8e-04	1.994|8e-04	2.0015|0.0015	1.9821|0.0012	1.9981|8e-04	1.9981|8e-04	1.9977|9e-04	2.0122|0.001	1.9851|0.0015	1.9977|9e-04	1.9997|0.001	2|8e-04	2|8e-04	1.9919|0.001	1.9977|9e-04	1.0108|5e-04	1.9977|9e-04	1.9835|0.0017	1.9997|0.001
MMRF_1107_1_BM_CD138pos_pair	2.0025|0.0019	1.9982|0.0013	2.0107|0.0012	2.9806|0.0034	2.0056|0.002	2.0067|0.0012	1.3284|0.0011	1.9845|0.0013	2.8331|0.0019	1.9975|0.0024	1.9914|0.0019	1.9924|0.0028	2.0021|0.0025	2.9897|0.002	2.9897|0.002	2.9931|0.0036	2.9821|0.0046	2.0045|0.0012	3.9924|0.0023	1.9975|0.0022	1.9872|0.0022	2.0028|0.0021	1.9708|0.0032	2.0058|0.002	2.0058|0.001	2.9961|0.0016	2.9963|0.0013	2.0027|0.0017	2.0086|0.001	2.0316|9e-04	2.0316|9e-04	3.0024|0.0016	3.0024|0.0016	2.0152|0.0016	2.0149|0.0013	1.9476|0.0011	2.3623|0.0022	2.9976|0.0027	2.9897|0.0021	2.0078|0.0012	2.0078|0.0012	1.9997|0.0011	3.9895|0.0023	1.9886|0.0019	1.9997|0.0011	2.0015|0.0013	3.6976|0.0052	3.6976|0.0052	1.9953|0.0012	1.9997|0.0011	1.8188|0.0017	1.9997|0.0011	1.9896|0.0028	2.0015|0.0013
MMRF_1108_1_BM_CD138pos_pair	1.996|0.0012	1.996|0.0012	2.7964|0.0016	2.7964|0.0016	1.0223|0.0023	2.0279|0.002	2.0503|0.0027	2.014|0.0016	2.8934|0.0029	1.9825|0.0037	2.034|0.003	1.908|0.0024	1.8883|0.0027	1.9982|0.0015	1.9982|0.0015	2.7976|0.005	2.8515|0.0039	1.163|0.0022	1.9768|0.0023	2.0038|0.0026	1.9657|0.0023	2.9595|0.0034	1.979|0.0024	1.9975|0.0018	1.995|0.0011	1.9512|0.0027	1.9279|0.0016	2.0066|0.001	2.0066|0.001	2.959|0.0014	2.959|0.0014	2.0086|0.0018	1.1361|0.001	1.9419|0.0011	1.9401|0.0015	1.1831|0.0013	2.0162|0.0013	2.8855|0.003	2.9136|0.008	2.8004|0.0016	2.8004|0.0016	1.1821|0.0092	2.0141|0.0019	2.0364|0.0029	2.0411|0.002	2.0172|0.0014	2.0202|0.0013	2.0202|0.0013	2|0.0012	1.1594|0.0019	2.052|0.0023	1.1594|0.0019	1.912|0.0024	2.0172|0.0014
MMRF_1129_1_BM_CD138pos_pair	1.9447|0.0012	1.9447|0.0012	1.9957|0.0014	1.9945|0.0017	2.0259|0.0026	1.9932|0.0012	1.0022|7e-04	1.0129|8e-04	1.9417|0.0022	1.9815|0.0042	1.7989|0.0019	2.033|0.0046	1.9815|0.0027	1.9999|0.0015	1.9999|0.0015	1.9684|0.0044	1.9771|0.0027	1.9842|0.0022	2.6651|0.0018	1.9869|0.0025	2.0237|0.0046	1.9905|0.0024	1.9561|0.0029	1.9947|0.0021	1.9909|0.0011	1.9913|9e-04	1.9915|0.0012	2.0016|0.0023	2.0395|0.0025	2.0056|0.0032	2.0095|0.0016	1.7788|0.0024	1.0018|0.001	1.9954|0.0011	1.9954|0.0011	1.9908|0.0017	2.0161|0.0018	2.818|0.0029	2.8002|0.0034	2.0017|0.0021	2.0044|0.0014	1.9988|0.0016	2.6738|0.0018	1.8076|0.0019	2.0058|0.0025	1.0216|8e-04	2.0114|0.0015	2.0114|0.0015	1.9534|0.0012	2.0058|0.0025	1.0109|7e-04	2.0058|0.0025	1.984|0.0024	1.0216|8e-04
MMRF_1148_1_BM_CD138pos_pair	1.9881|0.0021	1.9933|0.0014	1.9404|0.0011	1.9404|0.0011	1.3|0.003	2.0454|0.0013	2.0048|0.0022	1.8227|0.0022	2.9619|0.0028	2.022|0.0016	2.022|0.0016	2.9059|0.004	2.8975|0.0039	2.0558|0.0041	3.0443|0.0024	3.7843|0.0068	2.9065|0.0086	2.0348|0.0012	2.9182|0.0018	2.0243|0.0017	2.0243|0.0017	3.0264|0.0033	2.0117|0.0034	1.9899|0.0014	1.991|0.0015	3.0193|0.0033	2.9873|0.0015	1.9847|9e-04	1.9847|9e-04	3.0409|0.0028	3.0414|0.0017	2.0003|0.0014	0.9477|0.0026	2.954|0.0016	2.9572|0.0021	0.967|0.0011	2.7578|0.004	2.9068|0.0017	2.9068|0.0017	1.9494|0.0011	1.9494|0.0011	2.0375|0.0012	2.9272|0.0018	2.031|0.0016	2.0375|0.0012	1.0079|0.0015	2.9287|0.0188	0.9639|0.0077	2.0024|0.0014	2.0375|0.0012	2.0916|0.0016	2.0375|0.0012	2.022|0.0049	2.17|0.0026
MMRF_1151_1_BM_CD138pos_pair	2.0137|0.0018	2.0046|0.0013	3.0456|0.0024	3.2908|0.0024	2.0128|0.001	2.0128|0.001	2.0141|0.0011	2.0111|0.0014	2.8596|0.0018	2.0003|0.0027	2.0106|0.0034	1.9963|0.0014	1.9963|0.0014	1.0088|0.0014	1.0099|7e-04	2.9969|0.0053	3.0156|0.0033	2.0053|0.001	2.0145|0.0011	1.9932|0.0015	1.9932|0.0015	2.0056|0.0019	1.9978|0.0022	2.0086|0.0012	2.0112|0.0016	2.0465|8e-04	2.0465|8e-04	2.0032|0.0014	2.011|0.0013	3.0433|0.0031	3.0529|0.0014	2.0116|0.001	0.976|8e-04	2.0053|0.0015	2.0123|0.0012	2.1639|0.001	2.1639|0.001	4.076|0.0021	4.076|0.0021	3.039|0.0016	3.039|0.0016	1.9947|0.001	2.0039|0.0011	2.0024|0.0031	1.9947|0.001	2.0049|0.0012	2.1533|0.001	2.1533|0.001	1.992|0.0012	1.9947|0.001	2.0035|0.0011	1.9947|0.001	1.9856|0.0014	2.0049|0.0012
MMRF_1153_1_BM_CD138pos_pair	2.004|0.002	2.0067|0.0016	2.001|9e-04	2.001|9e-04	2.0025|9e-04	2.0025|9e-04	0.9931|5e-04	1.9963|0.0012	2.8537|0.0022	2.0039|0.0016	1.9515|0.0025	1.9908|0.002	2.0017|0.0026	1.9993|0.0012	1.9993|0.0012	3.0617|0.0046	2.0123|0.0034	2.0055|0.001	2.8861|0.0015	0.9925|0.0015	2.0058|0.0019	1.9958|0.0018	2.0183|0.002	2.0003|0.0011	1.9956|0.0012	2.8225|0.0014	2.946|0.0015	1.9921|0.0015	1.9928|8e-04	2.9925|0.0022	3.8382|0.0038	3.0066|0.002	2.0112|0.001	2.9841|0.002	3.0022|0.0023	1.9721|8e-04	1.9721|8e-04	2.9962|0.0024	3.0046|0.0019	2|9e-04	2|9e-04	2.0045|0.001	2.8851|0.0015	2.0029|0.0016	2.0045|0.001	2.0035|0.0011	1.9711|8e-04	1.9711|8e-04	1.9983|0.0011	2.0045|0.001	0.9921|5e-04	2.0045|0.001	1.9898|0.002	2.0035|0.0011
MMRF_1157_1_BM_CD138pos_pair	1.9985|9e-04	1.9985|9e-04	1.9972|0.0013	2.0092|0.0015	2.0069|0.0014	2.0013|0.0013	1.9845|0.001	1.9969|0.0017	2.0032|0.0012	2.0285|0.0025	2.0257|0.0025	2.0143|0.0021	2.0269|0.0026	1.9955|0.0026	1.9902|0.0013	2.04|0.0042	2.0273|0.0039	2.0041|0.0011	2.0026|7e-04	2.0028|0.0019	2.0176|0.0021	1.9913|0.0018	2.0295|0.002	1.9939|0.0018	1.9931|8e-04	1.997|9e-04	1.9909|0.0012	1.9986|0.0015	1.9868|8e-04	1.9876|9e-04	2.0034|0.0012	1.9962|0.0016	1.9918|8e-04	2.0006|0.0018	1.9967|0.0012	1.9947|8e-04	1.9947|8e-04	1.9997|0.001	1.9997|0.001	2.0039|0.0013	2.0039|0.0013	2.0064|7e-04	2.0064|7e-04	2.0345|0.0021	2.0064|7e-04	2.0073|0.0011	1.9986|8e-04	1.9986|8e-04	2.0023|9e-04	2.0064|7e-04	1.9883|0.001	2.0064|7e-04	2.0181|0.0021	2.0073|0.0011
MMRF_1164_1_BM_CD138pos_pair	2.0091|0.0017	2.0102|0.0015	1.9936|0.001	1.9936|0.001	2.0217|0.0021	2.007|0.0014	1.4306|0.0013	1.4622|0.0027	1.9872|0.0013	1.6515|0.0048	1.0052|0.0022	1.998|0.0014	1.998|0.0014	2.0003|0.0018	2.0005|0.0019	1.976|0.0018	1.976|0.0018	1.9605|8e-04	1.9605|8e-04	2.0115|0.0015	2.0115|0.0015	1.9983|0.0019	2.0363|0.0021	1.9954|0.0012	1.9907|0.001	1.9958|8e-04	1.9974|0.001	1.9899|8e-04	1.9899|8e-04	1.9999|9e-04	1.9986|8e-04	1.9622|8e-04	1.9622|8e-04	1.9835|0.001	1.9846|0.0013	2.0075|9e-04	2.0075|9e-04	2.0072|0.0023	1.9607|0.0013	1.9961|0.001	1.9961|0.001	1.9631|8e-04	1.9631|8e-04	1.9983|0.0024	1.9631|8e-04	1.0501|0.0018	2.0101|9e-04	2.0101|9e-04	2.0044|0.0012	1.9631|8e-04	1.2904|0.0011	1.9631|8e-04	2.0006|0.0014	1.0559|0.0024
MMRF_1167_1_BM_CD138pos_pair	1.9715|0.0015	1.9806|0.0017	2.9507|0.0016	2.9507|0.0016	2.0361|0.0012	2.0361|0.0012	0.8978|7e-04	2.1149|0.0015	2.995|0.0021	1.9634|0.0049	0.8729|0.0011	2.0292|0.0024	2.9064|0.0039	1.9663|0.0021	1.9663|0.0021	3.9751|0.0046	3.5413|0.0057	2.0296|0.002	2.9665|0.0019	2.0513|0.0026	3.1908|0.0036	1.962|0.0023	2.1087|0.0062	4.2952|0.0027	1.9766|0.0013	3.1014|0.0026	3.0023|0.0018	1.979|0.0019	2.5865|0.0034	4.2627|0.0038	3.0936|0.0027	3.1562|0.0021	2.7609|0.0019	3.0063|0.0031	2.9719|0.002	0.8443|0.0011	3.1668|0.0026	3.0199|0.003	2.8885|0.0022	2.9213|0.0016	2.9213|0.0016	2.0029|0.0014	2.9371|0.0019	0.8435|0.0011	2.0029|0.0014	2.0856|0.0015	3.158|0.0042	3.158|0.0042	1.9618|0.0017	2.0052|0.0083	0.8684|7e-04	1.9955|0.0102	1.9998|0.0024	2.0856|0.0015
MMRF_1169_1_BM_CD138pos_pair	2.0036|0.003	0.9226|0.0034	1.979|0.0033	1.9928|0.0015	1.9992|0.0026	0.9848|0.0032	0.8993|9e-04	1.8937|0.004	4.0369|0.0036	1.9634|0.0038	0.9162|0.0027	1.0634|0.0024	2.0087|0.0019	2.0142|0.0023	2.0186|0.0022	3.051|0.0037	2.9042|0.0058	1.0775|0.0017	2.012|0.0014	2.0078|0.0038	1.9995|0.0024	2.018|0.0024	0.8693|0.0016	2.0176|0.0015	2.0203|0.0011	3.1131|0.0026	3.1164|0.0018	1.9809|0.0028	2.0113|0.0019	3.1018|0.0038	2.2646|0.0019	2.0069|0.0018	2.0296|0.0016	3.1485|0.0042	3.1254|0.0034	0.8911|0.0013	0.8946|8e-04	1.7746|0.002	1.9993|0.0016	1.986|0.0015	1.986|0.0015	2.009|0.009	2.0052|0.0014	2.009|0.009	1.0856|0.0014	1.9245|0.0016	0.8877|8e-04	0.8877|8e-04	0.9157|0.0034	2.0224|0.0049	0.8925|9e-04	2.0224|0.0049	1.0565|0.0024	1.9245|0.0016
MMRF_1171_1_BM_CD138pos_pair	1.9833|0.0013	1.9833|0.0013	2.805|0.0018	2.805|0.0018	2.0336|0.0013	2.0336|0.0013	1.0584|8e-04	2.0076|0.0018	3.7867|0.0031	1.9741|0.0028	2.0042|0.0023	1.8612|0.0017	1.8612|0.0017	1.9763|0.0017	1.9763|0.0017	2.7737|0.0037	2.7759|0.005	1.9815|0.001	1.9815|0.001	2.0143|0.0019	2.0143|0.0019	1.9725|0.0025	1.0129|0.0014	1.9805|0.0015	1.9849|0.0012	2.0383|0.0011	2.0383|0.0011	1.9716|0.0021	1.987|0.0012	2.9628|0.0016	2.9628|0.0016	2.0129|0.0015	1.1129|0.0011	2.0004|0.0012	2.0004|0.0012	2.0048|0.0012	2.0048|0.0012	2.8454|0.0033	2.7504|0.0024	2.819|0.0018	2.819|0.0018	1.9955|0.001	1.9955|0.001	2.0193|0.0023	1.9955|0.001	2.0305|0.0016	2.0189|0.0012	2.0189|0.0012	1.9974|0.0013	1.9955|0.001	1.0725|8e-04	1.9955|0.001	1.8753|0.0017	2.0305|0.0016
MMRF_1178_1_BM_CD138pos_pair	2.0161|0.0022	2.0356|0.002	2.0056|0.0011	2.0056|0.0011	2.0103|0.0011	2.0103|0.0011	1.0149|0.001	2.0315|0.0022	3.026|0.0028	1.9774|0.0015	1.9774|0.0015	1.9752|0.0015	1.9752|0.0015	1.056|0.002	1.9614|0.0016	1.9698|0.002	1.9698|0.002	2.0059|0.0012	2.8834|0.0018	2.0293|0.0025	2.0156|0.0023	1.9612|0.0022	1.9984|0.0023	1.9941|0.0013	1.9946|0.001	3.0184|0.0013	3.0184|0.0013	1.9693|0.0015	1.9688|0.0012	2.0286|0.0014	2.0179|0.0015	3.0469|0.0019	3.0277|0.002	2.1641|0.0012	2.1663|0.0016	1.983|0.0011	1.983|0.0011	2.9314|0.0028	2.8514|0.0021	2.0072|0.0011	2.0072|0.0011	2.0075|0.0012	2.885|0.0018	1.9791|0.0015	2.0075|0.0012	2.0362|0.0014	1.9846|0.0011	1.9846|0.0011	2.0284|0.0014	2.0075|0.0012	1.017|9e-04	2.0075|0.0012	1.9768|0.0015	2.0362|0.0014
MMRF_1179_1_BM_CD138pos_pair	2.0065|0.0014	2.0056|0.001	2.0114|0.002	2.0123|0.0015	1.0119|0.001	1.0103|6e-04	1.0131|6e-04	1.5864|0.0023	1.9533|0.0013	1.993|0.0042	2.0066|0.0028	2.0082|0.0023	2.0257|0.0028	1.9966|0.0019	1.9911|0.0021	3.0952|0.0086	1.9616|0.0045	1.0416|0.0018	2.0077|0.0017	1.9969|0.0023	2.0074|0.0022	1.9879|0.0025	1.0306|0.0012	2.0199|0.002	2.0063|0.001	2.0145|0.001	2.0146|8e-04	2.0105|0.0014	2.0166|0.0011	2.0133|0.001	2.0091|0.0013	2.0069|0.0014	2.0073|9e-04	2.017|0.0015	2.0155|0.001	2.0052|0.001	1.9902|0.0016	2.0124|0.0026	2.0068|0.0014	2.0053|0.0015	2.0037|0.0015	2|0.0016	2.0022|0.0014	1.9952|0.002	1.0342|0.0018	1.578|0.002	2.0094|0.003	2.0094|0.003	1.9983|0.001	2.0022|0.0014	1.0058|6e-04	2.0022|0.0014	2.0008|0.0023	1.9997|0.0045
MMRF_1180_1_BM_CD138pos_pair	1.9979|0.0011	1.9979|0.0011	2.0223|0.0016	2.0221|0.0029	2.0223|0.0011	2.0223|0.0011	1.0589|7e-04	2.0613|0.0014	1.967|0.0024	1.9892|0.0025	1.9927|0.0019	1.9797|0.0024	1.9631|0.0021	1.9998|0.0015	1.9998|0.0015	1.9323|0.0033	1.9394|0.0021	2.0313|0.0012	3.7228|0.0023	2.0287|0.0017	2.0526|0.0022	1.9762|0.0026	2.0376|0.0024	1.9979|0.0014	2.0008|0.0014	1.9919|9e-04	1.9944|0.0012	2.0081|9e-04	2.0081|9e-04	2.0066|0.001	2.0066|0.001	2.0118|0.001	2.0118|0.001	1.9925|0.0011	1.9981|0.0017	2.0023|0.0022	2.007|0.0016	2.0174|0.0029	1.9599|0.0015	1.9916|0.002	1.9852|0.0052	2.0291|0.0012	3.7206|0.0023	1.9905|0.0019	2.0291|0.0012	2.059|0.0014	2.0054|0.0012	2.9937|0.0608	1.9956|0.0011	2.0291|0.0012	1.0567|7e-04	2.0291|0.0012	1.9774|0.0024	2.059|0.0014
MMRF_1185_1_BM_CD138pos_pair	1.9968|0.0013	1.9968|0.0013	1.9788|0.0013	1.9788|0.0013	2.0094|0.0014	2.0459|0.006	1.5736|0.0012	1.6123|0.0013	2.0181|0.003	1.9645|0.0018	1.9645|0.0018	1.9897|0.0018	1.9897|0.0018	1.9914|0.0017	1.9914|0.0017	1.9923|0.0024	1.9923|0.0024	1.6899|0.0015	1.6829|0.0013	1.796|0.0026	1.8115|0.0024	1.9837|0.0026	2.0481|0.0028	1.9933|0.0016	1.9888|0.0014	1.9829|0.001	1.9852|0.0014	1.9808|0.0011	1.9808|0.0011	1.9816|0.0022	1.9886|0.0013	1.9958|0.0011	1.9958|0.0011	1.9787|0.0016	1.981|0.0019	1.9973|0.0013	1.998|0.0014	2.0536|0.0015	2.0536|0.0015	1.9891|0.0013	1.9891|0.0013	1.696|0.0012	1.6932|0.0013	1.9748|0.0018	1.696|0.0012	1.6226|0.0013	2.0076|0.0013	2.0076|0.0013	2.0071|0.0013	1.696|0.0012	1.584|0.0012	1.696|0.0012	2|0.0018	1.6226|0.0013
MMRF_1188_1_BM_CD138pos_pair	3.9707|0.0011	3.9707|0.0011	5.3822|0.0016	5.3752|0.0021	4.0419|0.0012	4.0419|0.0012	4.0793|0.0013	4.1256|0.0015	5.4251|0.002	3.9823|0.0016	3.9823|0.0016	3.8723|0.0024	3.8382|0.002	3.9435|0.0015	3.9435|0.0015	6.7336|0.0061	6.7506|0.006	4.0193|0.0016	4.9475|0.0016	4.2429|0.0026	4.2649|0.0035	5.527|0.0031	4.067|0.0033	5.1455|0.0018	4.4645|0.0019	5.4654|0.0012	5.4654|0.0012	3.938|0.0018	3.936|0.0011	6.7126|0.0016	6.7126|0.0016	5.5987|0.0014	5.5987|0.0014	5.4024|0.0018	5.3995|0.0026	3.994|0.0011	3.994|0.0011	6.8937|0.0035	6.8458|0.0025	3.3883|0.0016	3.3883|0.0016	2.0203|0.0013	2.9535|0.0016	1.9884|0.0016	2.0203|0.0013	2.1316|0.0015	2|0.0011	2|0.0011	1.9768|0.0011	2.0203|0.0013	2.0854|0.0013	2.0203|0.0013	1.8783|0.0024	2.1316|0.0015
MMRF_1189_1_BM_CD138pos_pair	1.9813|0.002	1.9728|0.0014	1.9947|0.0014	0.9868|0.0015	2.0012|0.001	2.0012|0.001	1.9916|0.0013	0.9962|0.0013	1.9804|0.0014	1.9764|0.0036	1.9477|0.0026	1.9775|0.0028	1.9813|0.0026	2.0054|0.0013	2.0054|0.0013	1.9598|0.0045	1.9663|0.0035	1.3046|0.0025	3.1898|0.0018	2.0082|0.0022	1.9866|0.0021	1.9954|0.002	1.9783|0.0022	2.0046|0.0014	2.0046|8e-04	2.007|0.0012	2.0078|0.0013	1.994|0.0017	2.0022|0.0012	1.9968|0.0017	2.0096|0.001	1.9981|0.0015	2.0048|0.0014	2.0059|0.0015	1.9984|0.0013	1.9923|0.0029	2.0056|0.0011	2.0038|0.0023	2.059|0.0014	0.2029|0.0016	1.9986|0.0014	1.9855|0.0011	3.1937|0.0018	1.3863|0.0077	1.9855|0.0011	1.0001|0.0013	2.0095|0.0011	2.0095|0.0011	1.9972|0.0012	1.8795|0.0094	1.9954|0.0012	1.3085|0.0025	1.9814|0.0028	1.9856|0.0025
MMRF_1195_1_BM_CD138pos_pair	2.8945|0.0024	2.8059|0.0015	3.006|0.0014	3.006|0.0014	1.929|0.0016	2.0586|0.001	0.9959|7e-04	1.9911|0.0012	2.8161|0.0022	1.9034|0.0012	1.9034|0.0012	2.0269|0.0013	2.0269|0.0013	1.983|0.0012	1.983|0.0012	3.788|0.0034	3.788|0.0034	1.9978|0.0013	2.9574|0.0015	2.8146|0.004	2.7643|0.0026	1.989|0.002	1.9307|0.002	2.0023|7e-04	2.0023|7e-04	2.0052|7e-04	2.0048|9e-04	1.9637|0.0015	1.9889|0.0011	3.0223|0.0012	3.0223|0.0012	2.0097|8e-04	2.0097|8e-04	2.0367|9e-04	2.0367|9e-04	1.5541|0.0014	2.0003|0.0014	3.0215|0.0024	2.9724|0.0019	3.0116|0.0014	3.0116|0.0014	1.9945|0.001	2.963|0.0015	1.909|0.0012	1.9945|0.001	2.0066|0.0011	2.0113|0.0011	2.9816|0.0511	2.8114|0.0015	2.0091|0.0026	1.0039|6e-04	2.0091|0.0026	2.0324|0.0013	2.0066|0.0011
MMRF_1202_1_BM_CD138pos_pair	1.9789|0.0027	1.9913|0.0021	2.0124|0.0032	1.9824|0.002	1.9924|0.0026	2.0463|0.0059	1.0622|0.0011	2.0397|0.0029	1.9707|0.0017	1.9815|0.005	1.9911|0.0034	1.9832|0.0035	1.9132|0.0036	1.9708|0.0038	1.9937|0.0019	1.9744|0.0037	1.9457|0.003	2.0066|0.0014	2.8112|0.0021	1.9753|0.0042	1.9995|0.0027	1.9774|0.0026	1.3144|0.0041	1.9816|0.0017	1.9915|0.0026	1.9906|0.0025	1.9877|0.002	2.0093|0.0021	2.0073|0.0016	1.9995|0.0026	1.999|0.0013	1.9915|0.0015	2.006|0.0017	1.9834|0.0013	1.9898|0.002	2.0201|0.0039	2.0116|0.0026	2.0476|0.0048	1.9404|0.0017	1.9903|0.0016	1.9903|0.0016	2.0154|0.0014	2.82|0.0021	1.958|0.0031	2.0154|0.0014	2.0301|0.0017	2.018|0.0032	2.018|0.0032	1.9996|0.0016	2.0154|0.0014	1.0723|9e-04	2.0154|0.0014	1.992|0.0035	2.0301|0.0017
MMRF_1210_1_BM_CD138pos_pair	2.0096|0.001	2.0096|0.001	3.0052|0.0015	3.0052|0.0015	2.0183|0.0021	2.0183|0.0012	2.0082|0.0011	2.0109|0.0013	3.6908|0.0024	1.9918|0.0023	1.9858|0.0016	2.0009|0.0034	2.0218|0.0017	1.9987|0.0013	1.9987|0.0013	4.0088|0.004	4.0088|0.004	2.0134|0.002	2.0181|0.0011	3.0047|0.0023	3.0047|0.0023	2.9997|0.003	2.0115|0.0032	3.0148|0.0018	3.0043|0.0014	2.0074|8e-04	2.01|0.001	2.9867|0.0021	2.9942|0.0024	3.0069|0.0013	3.0069|0.0013	2.0125|0.0014	2.0102|9e-04	3.0072|0.0019	3.0076|0.0021	2.002|0.0019	2.0098|0.0014	3.9832|0.0035	3.9835|0.0027	2.9953|0.0015	2.9953|0.0015	2.0069|0.0013	2.0082|0.0011	1.976|0.0016	2.0069|0.0013	2.0072|0.0012	2.8085|0.0689	1.9777|0.0028	1.9998|0.001	2.0034|0.0028	1.9984|0.0011	2.0034|0.0028	1.985|0.0035	2.0072|0.0012
MMRF_1216_1_BM_CD138pos_pair	1.4251|0.0021	2.0089|0.0012	2.0271|0.0019	2.0061|0.0014	2.0241|0.0022	2.0369|0.0013	1.0672|7e-04	2.0717|0.0014	2.5002|0.0045	1.9945|0.0025	1.9858|0.002	1.9509|0.0027	1.9509|0.0027	2.0031|0.0015	2.0031|0.0015	1.924|0.0034	1.9427|0.0037	2.0708|0.0032	3.7013|0.0041	2.0338|0.0017	2.0338|0.0017	2.0022|0.0022	2.0213|0.0047	2.992|0.002	2.0047|0.001	1.9974|9e-04	1.9974|9e-04	2.3868|0.0048	2.0172|0.0012	2.0274|0.0016	2.005|0.0018	2.0194|0.001	2.0194|0.001	1.9809|0.0016	1.9911|0.0021	1.6468|0.0018	2.0187|0.0012	1.9879|0.0012	1.9879|0.0012	2.0011|0.0014	2.0011|0.0014	2.0336|0.0014	3.641|0.0066	1.9808|0.002	2.0336|0.0014	2.0667|0.0014	2.0137|0.0012	2.0137|0.0012	2.0039|0.0012	2.0658|0.0032	1.0622|7e-04	2.0658|0.0032	1.9965|0.0035	2.0667|0.0014
